coordinates
x,y,z
24,25,27
32,33,48
32,48,14
26,32,16
27,49,31
26,27,31
17,2,33
30,33,2
35,3,50
40,39,51
33,30,52
34,3,36
23,21,53
0,31,54
49,27,47
19,18,55
47,25,46
49,47,56
45,57,58
46,23,53
53,21,45
59,38,60
45,55,57
46,53,61
47,46,62
18,44,55
45,19,55
0,54,37
49,63,54
31,49,54
64,43,65
33,52,48
11,40,42
48,52,66
16,32,14
14,67,15
39,16,15
65,68,69
6,9,64
39,15,51
40,51,42
9,11,43
9,43,64
42,51,70
6,64,12
52,71,72
43,42,68
29,1,59
44,73,74
52,30,71
13,75,76
5,12,75
41,29,77
44,34,73
29,59,78
51,15,79
12,64,80
80,64,65
14,48,81
65,43,68
68,42,70
82,70,79
70,51,79
79,15,67
67,14,81
82,79,83
84,85,86
37,54,87
55,44,88
55,88,57
57,88,89
53,45,58
87,63,90
58,85,61
53,58,61
61,84,62
46,61,62
49,56,63
87,54,63
47,62,56
56,62,91
81,48,66
67,81,83
36,92,73
34,36,73
3,13,50
93,35,50
75,12,94
13,5,75
50,13,95
78,96,77
41,97,71
30,41,71
36,35,98
77,29,78
38,37,99
59,1,38
78,59,100
41,77,101
60,99,102
66,52,72
103,93,104
77,96,105
82,69,70
81,66,106
37,87,99
63,56,91
58,57,85
62,84,91
88,44,74
85,84,61
107,108,109
89,88,74
35,93,110
111,112,89
74,113,111
85,57,89
63,91,90
91,86,90
87,90,99
96,78,114
80,65,115
66,72,106
81,106,83
106,116,83
79,67,83
82,83,117
12,80,94
69,68,70
118,94,119
65,69,115
69,120,115
80,115,94
93,50,104
72,97,121
38,99,60
59,60,100
122,113,92
72,71,97
95,76,123
97,41,101
94,118,76
75,94,76
97,101,124
13,76,95
105,125,101
92,36,98
100,60,126
126,127,100
74,73,92
98,122,92
110,128,98
99,90,129
123,130,95
96,108,105
123,118,131
128,122,98
123,76,118
117,116,132
94,115,119
124,133,121
120,69,117
119,115,120
118,119,134
69,82,117
106,72,135
126,60,102
102,99,129
113,136,111
91,84,86
74,92,113
126,102,137
89,74,111
102,129,138
139,112,140
129,90,141
85,89,112
112,139,86
85,112,86
97,124,121
116,117,83
119,120,142
72,121,135
121,143,135
98,35,110
96,114,109
50,95,104
144,133,124
101,77,105
130,104,95
78,100,114
137,145,126
141,86,139
113,122,146
120,117,132
142,147,134
132,148,147
138,139,149
112,111,140
140,111,136
129,141,138
146,150,136
148,143,151
120,132,142
119,142,134
102,138,137
138,149,137
143,121,133
151,143,133
147,131,134
118,134,131
125,108,152
136,113,146
150,140,136
125,124,101
137,153,145
127,114,100
108,96,109
110,93,154
131,155,123
93,103,154
156,146,122
103,157,154
135,148,116
106,135,116
90,86,141
139,138,141
148,151,147
103,130,158
139,140,149
128,154,159
150,153,149
140,150,149
109,127,160
150,146,156
151,133,144
155,131,161
158,130,155
148,135,143
116,148,132
147,142,132
110,154,128
157,162,163
103,104,130
147,151,161
105,108,125
152,164,144
109,114,127
145,160,127
155,130,123
125,144,124
128,156,122
137,149,153
128,159,156
145,127,126
153,156,165
161,151,144
125,152,144
131,147,161
153,150,156
160,145,166
108,107,152
107,109,160
156,159,165
157,103,158
107,167,152
155,161,168
154,157,159
166,163,160
161,144,164
158,155,168
157,158,162
165,166,153
159,157,163
168,161,164
162,168,164
165,163,166
166,145,153
165,159,163
163,167,160
